English	Foreign	Transliteration	Context
George and Rawad	جورج وَرَواد	-	Identify names
Carrie and Rosa	كَري وَروزا	-	Identify names
Bob and Judy	بوب وَجودي	-	Identify names
George and Rosa	جورج وَروزا	-	Identify names
Bob and Rosa	بوب وَروزا	-	Identify names
Rawad and Carrie	رَواد وَكَري	-	Identify names
Judy and George	جودي وَجورج	-	Identify names
Judy and Bob	جودي وَبوب	-	Identify names
Rosa	روزا	-	Identify names
Rawad and George	رَواد وَجورج	-	Identify names
Cuba and Peru	كوبا وَبيرو	-	Refer to places
Juba and Baku	جوبا وَباكو	-	Refer to places
Korea and Peru	كوريا وَبيرو	-	Refer to places
Cuba and Korea	كوبا وَكوريا	-	Refer to places
Peru and Korea	بيرو وَكوريا	-	Refer to places
Baku and Dakar	باكو وَداكار	-	Refer to places
Peru and Cuba	بيرو وَكوبا	-	Refer to places
Baku and Riga	باكو وَريجا	-	Refer to places
Juba and Riga	جوبا وَريجا	-	Refer to places
Cuba	كوبا	-	Refer to places
Peru	بيرو	-	Refer to places
Juba and Dakar	جوبا وَداكار	-	Refer to places
house	بَيت	-	Talk about your house
an amazing house	بَيت مُمتاز	-	Talk about your house
a new door	باب جَديد	-	Talk about your house
a new jacket	جاكيت جَديد	-	Talk about your house
jacket	جاكيت	-	Talk about your house
an amazing door	باب مُمتاز	-	Talk about your house
an amazing garage	كَراج مُمتاز	-	Talk about your house
a big jacket	جاكيت كَبير	-	Talk about your house
a big garage	كَراج كَبير	-	Talk about your house
an amazing jacket	جاكيت مُمتاز	-	Talk about your house
a new garage	كَراج جَديد	-	Talk about your house
a big door	باب كَبير	-	Talk about your house
a new neighbor	جار جَديد	-	Describe things
fish	سَمَك	-	Describe things
cold	بارِد	-	Describe things
a regular jacket	جاكيت عادي	-	Describe things
a generous husband	زَوج كَريم	-	Describe things
chicken	دَجاج	-	Describe things
new fish	سَمَك جَديد	-	Describe things
a generous neighbor	جار كَريم	-	Describe things
a regular house	بَيت عادي	-	Describe things
a cold house	بَيت بارِد	-	Describe things
a new husband	زَوج جَديد	-	Describe things
cold chicken	دَجاج بارِد	-	Describe things
Zayd is amazing.	زَيد مُمتاز.	-	Describe people
Sam is new.	سام جَديد.	-	Describe people
Rawad is happy.	رَواد سَعيد.	-	Describe people
David is smart.	دَوود ذَكِيّ.	-	Describe people
David is fast.	دَوود سَريع.	-	Describe people
David is fun.	دَوود مُمتِع.	-	Describe people
Sam is a translator.	سام مُتَرجِم.	-	Describe people
Omar is fast.	عُمَر سَريع.	-	Describe people
Omar is a fast translator.	عُمَر مُتَرجِم سَريع.	-	Describe people
Rosa is from Syria.	روزا مِن سوريا.	-	Say where you are from
Sam is from Tunisia.	سام مِن تونِس.	-	Say where you are from
Zayd and Sam are from Oman.	زَيد وَسام مِن عُمان.	-	Say where you are from
George and Rosa are from Lebanon.	جورج وَروزا مِن لُبنان.	-	Say where you are from
Omar is from Tunisia.	عُمَر مِن تونِس.	-	Say where you are from
Omar is from Syria.	عُمَر مِن سوريا.	-	Say where you are from
Sam is from America.	سام مِن أَمريكا.	-	Say where you are from
I am from America.	أَنا مِن أَمريكا.	-	Say where you are from
from Syria	مِن سوريا	-	Say where you are from
I am from Lebanon.	أَنا مِن لُبنان.	-	Say where you are from
a pretty jacket	جاكيت جَميل	-	Describe possessions
George has a house.	عِنْد جورْج بَيْت.	-	Describe possessions
