English	Context	Foreign	Transliteration	Tip	Sources	Debug
and	lexeme	و	uu	-	Duo	-
uniform; costume	lexeme	زي	zii	-	Duo	-
visited	lexeme	زار	zaar	-	Duo	-
watering	lexeme	ري	rii	-	Duo	-
rhode	lexeme	رود	ruud	-	Duo	-
role; floor; turn; decks	lexeme	دور	duur	-	Duo	-
See	lexeme	رَ	ra	-	Duo	-
and	lexeme	وَ	wa	-	Duo	-
with; Of	lexeme	ذو	dhuu	-	Duo	-
jack	lexeme	جاك	jaak	-	Duo	-
George; George is	lexeme	جورج	juurj	-	Duo	-
Rawad; Rawad is	lexeme	رَواد	rawaad	-	Duo	-
Bob; Bob is; pop	lexeme	بوب	buub	-	Duo	-
Judy; Judy is	lexeme	جودي	juudii	-	Duo	-
Rosa; Rosa is	lexeme	روزا	ruuzaa	-	Duo	-
Carrie; Carrie is	lexeme	كَري	karii	-	Duo	-
cup; mug	lexeme	كوب	kuub	-	Duo	-
wi	lexeme	واي	waaii	-	Duo	-
Korea	lexeme	كوريا	kuuriiaa	-	Duo	-
Peru	lexeme	بيرو	biiruu	-	Duo	-
Cuba	lexeme	كوبا	kuubaa	-	Duo	-
Juba	lexeme	جوبا	juubaa	-	Duo	-
Dakar	lexeme	داكار	daakaar	-	Duo	-
Baku	lexeme	باكو	baakuu	-	Duo	-
Riga	lexeme	ريجا	riijaa	-	Duo	-
cakes	lexeme	كيك	kiik	-	Duo	-
neighbor; a neighbor	lexeme	جار	jaar	-	Duo	-
husband; a husband	lexeme	زَوج	zauuj	-	Duo	-
amazing; excellent; perfect	lexeme	مُمتاز	mumtaaz	-	Duo	-
crown	lexeme	تاج	taaj	-	Duo	-
house; home; a house	lexeme	بَيت	baiit	-	Duo	-
garage	lexeme	كَراج	karaaj	-	Duo	-
new	lexeme	جَديد	jadiid	-	Duo	-
jacket	lexeme	جاكيت	jaakiit	-	Duo	-
big	lexeme	كَبير	kabiir	-	Duo	-
door	lexeme	باب	baab	-	Duo	-
selling	lexeme	بيع	bii3	-	Duo	-
cold	lexeme	بارِد	baarid	-	Duo	-
generous	lexeme	كَريم	kariim	-	Duo	-
chicken	lexeme	دَجاج	dajaaj	-	Duo	-
normal; casual; ordinary; regular; plain	lexeme	عادي	3aadii	-	Duo	-
fish	lexeme	سَمَك	samak	-	Duo	-
good	lexeme	جَيِّد	jaiiid	-	Duo	-
entertaining; fun; interesting	lexeme	مُمتِع	mumti3	-	Duo	-
doctor; physician; a doctor	lexeme	دُكتور	duktuur	-	Duo	-
Zayd; Zayd is	lexeme	زَيد	zaiid	-	Duo	-
translator; interpreter; a translator	lexeme	مُتَرجِم	mutarjim	-	Duo	-
happy; delighted; nice	lexeme	سَعيد	sa3iid	-	Duo	-
Sam; toxic; Sam is; poisonous	lexeme	سام	saam	-	Duo	-
Duo; Duo is	lexeme	دُوو	duuuu	-	Duo	-
country; a country	lexeme	بَلَد	balad	-	Duo	-
neither; do not; no; isn't; does not; not; n't	lexeme	لا	laa	-	Duo	-
no; without	lexeme	بِلا	bilaa	-	Duo	-
cheese	lexeme	جُبن	jubn	-	Duo	-
fast	lexeme	سَريع	sarii3	-	Duo	-
David is; David; Dawood is; Dawood; Daud; Daud is	lexeme	دَوود	dauuuud	-	Duo	-
Omar; Omar is	lexeme	عُمَر	3umar	-	Duo	-
smart	lexeme	ذَكِيّ	dhakii	-	Duo	-
Arab	lexeme	عَرَبِيّ	3arabii	-	Duo	-
Tamer; Tamer is	lexeme	تامِر	taamir	-	Duo	-
father	lexeme	أَب	2aab	-	Duo	-
or	lexeme	أو	2auu	-	Duo	-
the first; first	lexeme	أول	2auul	-	Duo	-
c; cd; c.	lexeme	سي	sii	-	Duo	-
America	lexeme	أَمريكا	2aamriikaa	-	Duo	-
Syria	lexeme	سوريا	suuriiaa	-	Duo	-
Lebanon	lexeme	لُبنان	lubnaan	-	Duo	-
Tunisia	lexeme	تونِس	tuunis	-	Duo	-
than; of; from; to	lexeme	مِن	min	-	Duo	-
I	lexeme	أَنا	2aanaa	-	Duo	-
Oman	lexeme	عُمان	3umaan	-	Duo	-
American	lexeme	أَمريكِيّ	2aamriikii	-	Duo	-
Lebanese	lexeme	لُبنانِيّ	lubnaanii	-	Duo	-
Shadi; Shadi is	lexeme	شادي	shaadii	-	Duo	-
Syrian	lexeme	سورِيّ	suurii	-	Duo	-
Omani	lexeme	عُمانِيّ	3umaanii	-	Duo	-
Tunisian	lexeme	تونِسِيّ	tuunisii	-	Duo	-
Seth; Seth is	lexeme	سيث	siith	-	Duo	-
Omar has; at Omar's house	lexeme	عِنْد عُمَر	3ind 3umar	-	Duo	-
have; has; at	lexeme	عِنْد	3ind	-	Duo	-
beautiful; pretty; nice	lexeme	جَميل	jamiil	-	Duo	-
Judy has	lexeme	عِنْد جودي	3ind juudii	-	Duo	-
Shadi has	lexeme	عِنْد شادي	3ind shaadii	-	Duo	-
George has	lexeme	عِنْد جورْج	3ind juurj	-	Duo	-
Rosa has	lexeme	عِنْد روزا	3ind ruuzaa	-	Duo	-
bad	lexeme	سوء	suu2	-	Duo	-
a thing; thing; anything; something	lexeme	شَيْء	shaii2	-	Duo	-
evening	lexeme	مَساء	masaa2	-	Duo	-
English	lexeme	إِنْجِليزِيّ	2iinjiliizii	-	Duo	-
Scottish	lexeme	إِسْكُتْلَنْدِيّ	2iiskutlandii	-	Duo	-
England	lexeme	إِنْجِلْتِرا	2iinjiltiraa	-	Duo	-
