English	Foreign	Transliteration	Context
The man.	El hombre.	-	form basic sentences
I am a man.	Yo soy un hombre.	-	form basic sentences
He is a man.	Él es un hombre.	-	form basic sentences
the bread	el pan	-	form basic sentences
the apple	la manzana	-	form basic sentences
He is a boy.	Él es un niño.	-	form basic sentences
the boy	el niño	-	form basic sentences
I drink milk.	Yo bebo leche.	-	form basic sentences
A woman.	Una mujer.	-	form basic sentences
A girl.	Una niña.	-	form basic sentences
A man.	Un hombre.	-	form basic sentences
You're María.	Tú eres María.	-	form basic sentences
He eats apples.	Él come manzanas.	-	form basic sentences
Juan eats bread.	Juan come pan.	-	form basic sentences
Yo como, tú comes, él come.	I eat, you eat, he eats.	-	form basic sentences
La mujer bebe agua.	The woman drinks water.	-	form basic sentences
Yo bebo, tú bebes, él bebe.	I drink, you drink, he drinks.	-	form basic sentences
Él es un niño.	He is a boy.	-	form basic sentences
Do you eat bread?	¿Tú comes pan?	-	form basic sentences
I am a woman.	Yo soy una mujer.	-	form basic sentences
The woman drinks water.	La mujer bebe agua.	-	form basic sentences
I eat apples.	Yo como manzanas.	-	form basic sentences
Yo soy un niño.	I am a boy.	-	form basic sentences
El hombre bebe agua.	The man drinks water.	-	form basic sentences
You're welcome.	De nada.	-	greet people
Excuse me, please.	Disculpe, por favor.	-	greet people
Spanish	español	-	greet people
Thank you, goodbye.	Gracias, adiós.	-	greet people
English	inglés	-	greet people
Good morning, nice to meet you.	Buenos días, mucho gusto.	-	greet people
Excuse me.	Disculpe.	-	greet people
No, thank you.	No, gracias.	-	greet people
Yes, thank you.	Sí, gracias.	-	greet people
Nice to meet you.	Mucho gusto.	-	greet people
Yes, I am sorry!	Sí, ¡lo siento!	-	greet people
Hello, nice to meet you.	Hola, mucho gusto.	-	greet people
Thanks, good night.	Gracias, buenas noches.	-	greet people
the hospital	el hospital	-	get around in a city
I need a ticket.	Yo necesito un boleto.	-	get around in a city
Where's the bank?	¿Dónde está el banco?	-	get around in a city
Your train is here.	Tu tren está aquí.	-	get around in a city
the taxi	el taxi	-	get around in a city
the passport	el pasaporte	-	get around in a city
Where's the airport?	¿Dónde está el aeropuerto?	-	get around in a city
Where's your ticket?	¿Dónde está tu boleto?	-	get around in a city
My passport is in the hotel.	Mi pasaporte está en el hotel.	-	get around in a city
I need my suitcase.	Yo necesito mi maleta.	-	get around in a city
Where's the museum?	¿Dónde está el museo?	-	get around in a city
the bank	el banco	-	get around in a city
Where's the supermarket?	¿Dónde está el supermercado?	-	get around in a city
the bus	el autobús	-	get around in a city
Where is the passport?	¿Dónde está el pasaporte?	-	get around in a city
In the street.	En la calle.	-	get around in a city
Your bus is here.	Tu autobús está aquí.	-	get around in a city
Yo tengo una reserva.	I have a reservation.	-	get around in a city
¿Dónde está tu boleto?	Where's your ticket?	-	get around in a city
Tu autobús está aquí.	Your bus is here.	-	get around in a city
The bathroom is here.	El baño está aquí.	-	get around in a city
Yo tengo una maleta.	I have a suitcase.	-	get around in a city
I have a reservation.	Yo tengo una reserva.	-	get around in a city
¿Dónde está el hospital?	Where is the hospital?	-	get around in a city
Un boleto a Barcelona.	A ticket to Barcelona.	-	get around in a city
¿Dónde está el museo?	Where's the museum?	-	get around in a city
Yo necesito mi maleta.	I need my suitcase.	-	get around in a city
An orange juice?	¿Un jugo de naranja?	-	order food and drink
A tomato salad.	Una ensalada de tomate.	-	order food and drink
With or without milk?	¿Con o sin leche?	-	order food and drink
two	dos	-	order food and drink
one	uno	-	order food and drink
the restaurant	el restaurante	-	order food and drink
A coffee with milk.	Un café con leche.	-	order food and drink
A fish sandwich.	Un sándwich de pescado.	-	order food and drink
An orange juice, please.	Un jugo de naranja, por favor.	-	order food and drink
A cup of coffee, please.	Una taza de café, por favor.	-	order food and drink
the coffee	el café	-	order food and drink
I want to pay the check.	Yo quiero pagar la cuenta.	-	order food and drink
A table for two, please.	Una mesa para dos, por favor.	-	order food and drink
I need the check.	Yo necesito la cuenta.	-	order food and drink
A table for three people.	Una mesa para tres personas.	-	order food and drink
A salad, please.	Una ensalada, por favor.	-	order food and drink
With or without sugar?	¿Con o sin azúcar?	-	order food and drink
Yo quiero una ensalada.	I want a salad.	-	order food and drink
Un vaso de agua, por favor.	A glass of water, please.	-	order food and drink
Un sándwich de pescado.	A fish sandwich.	-	order food and drink
Without sugar, please.	Sin azúcar, por favor.	-	order food and drink
The restaurant is closed.	El restaurante está cerrado.	-	order food and drink
Yo quiero pagar la cuenta.	I want to pay the check.	-	order food and drink
I need to pay.	Yo necesito pagar.	-	order food and drink
A burger with cheese.	Una hamburguesa con queso.	-	order food and drink
Un café con azúcar.	A coffee with sugar.	-	order food and drink
Un jugo de naranja, por favor.	An orange juice, please.	-	order food and drink
A table for two people.	Una mesa para dos personas.	-	order food and drink
Una ensalada de tomate.	A tomato salad.	-	order food and drink
Do you have a brother?	¿Tienes un hermano?	-	describe your family
A cat and a dog.	Un gato y un perro.	-	describe your family
Your sister.	Tu hermana.	-	describe your family
the family	la familia	-	describe your family
the father	el padre	-	describe your family
He is elegant.	Él es elegante.	-	describe your family
Do you have a brother?	¿Tú tienes un hermano?	-	describe your family
I have a grandmother.	Yo tengo una abuela.	-	describe your family
She has a car.	Ella tiene un carro.	-	describe your family
I have a sister.	Yo tengo una hermana.	-	describe your family
Él tiene una casa.	He has a house.	-	describe your family
Un esposo y una esposa.	A husband and a wife.	-	describe your family
Yo tengo un abuelo.	I have a grandfather.	-	describe your family
A husband and a wife.	Un esposo y una esposa.	-	describe your family
My son is intelligent.	Mi hijo es inteligente.	-	describe your family
Ella tiene un carro.	She has a car.	-	describe your family
Do you have a sister?	¿Tú tienes una hermana?	-	describe your family
He has a house.	Él tiene una casa.	-	describe your family
Yo tengo una hija.	I have a daughter.	-	describe your family
¡Tu apartamento es bonito!	Your apartment is pretty!	-	describe your family
Mi gato es bonito.	My cat is pretty.	-	describe your family
A gray hat.	Un sombrero gris.	-	shop for clothes, use present tense
gray	gris	-	shop for clothes, use present tense
Too gray.	Demasiado gris.	-	shop for clothes, use present tense
I need a purse.	Yo necesito una cartera.	-	shop for clothes, use present tense
Yes, this hat.	Sí, este sombrero.	-	shop for clothes, use present tense
I want a shirt.	Yo quiero una camisa.	-	shop for clothes, use present tense
the clothes	la ropa	-	shop for clothes, use present tense
A clothing store.	Una tienda de ropa.	-	shop for clothes, use present tense
I want to buy a jacket.	Yo quiero comprar una chaqueta.	-	shop for clothes, use present tense
I want comfortable clothes.	Yo quiero ropa cómoda.	-	shop for clothes, use present tense
red	rojo	-	shop for clothes, use present tense
A different shirt.	Una camisa diferente.	-	shop for clothes, use present tense
A blue shirt.	Una camisa azul.	-	shop for clothes, use present tense
I want a watch.	Yo quiero un reloj.	-	shop for clothes, use present tense
A different hat.	Un sombrero diferente.	-	shop for clothes, use present tense
A red dress.	Un vestido rojo.	-	shop for clothes, use present tense
Yo necesito un cinturón.	I need a belt.	-	shop for clothes, use present tense
Una tienda de ropa.	A clothing store.	-	shop for clothes, use present tense
Yo necesito una cartera.	I need a purse.	-	shop for clothes, use present tense
I want to buy a gift.	Yo quiero comprar un regalo.	-	shop for clothes, use present tense
I want a jacket.	Yo quiero una chaqueta.	-	shop for clothes, use present tense
Yo quiero una camiseta.	I want a T-shirt.	-	shop for clothes, use present tense
Yo necesito una chaqueta cómoda.	I need a comfortable jacket.	-	shop for clothes, use present tense
Yo quiero una chaqueta.	I want a jacket.	-	shop for clothes, use present tense
Yo quiero comprar ropa.	I want to buy clothes.	-	shop for clothes, use present tense
Yo quiero ese sombrero.	I want that hat.	-	shop for clothes, use present tense
Un regalo para mi esposa.	A gift for my wife.	-	shop for clothes, use present tense
