English	Context	Foreign	Transliteration	Tip	Sources	Debug
I am fine		मैं ठीक हूँ	main theek hoon			
How are you?		कैसे हो?	kaise ho			
Hello or hi		नमस्ते	namaste			
Good night		शुभ रात्रि	shubh ratri			
Good morning		सुप्रभात	suprabhat			
Goodbye		अलविदा	alvida			
Friend		दोस्त	dost			
One		एक	ek			
Boy		लड़का	ladka			
Girl		लड़की	ladki			
I am		मैं हूँ	main hoon			
My		मेरी	meri			
Car		गाड़ी	gaadi			
My		मेरा	mera			
Home or house		घर	ghar			
My name		मेरा नाम	mera naam			
Name		नाम	naam			
Your		तुम्हारी	tumhari			
Your		तुम्हारा	tumhara			
You		तुम	tum			
This		यह	yah			
That		वह	vah			
Passport		पासपोर्ट	passport			
Please		कृपया	kripya			
Thank you		धन्यवाद	dhanyavaad			
Tea		चाय	chai			
Forgive me or sorry		माफ कीजिए	maaf kijiye			
And		और	aur			
Woman		औरत	aurat			
Man		आदमी	aadmi			
Female teacher		शिक्षिका	shikshika			
Male teacher		शिक्षक	shikshak			
Doctor		डॉक्टर	doctor			
Student		विद्यार्थी	vidhyarthi			
Lawyer		वकील	vakil			
Canada		कनाडा	Canada			
United States of America		अमेरिका	america			
China		चीन	China			
India		भारत	Bharat			
Navratri		नवरात्रि	navratri			
My family		मेरा परिवार	mera parivaar			
Family		परिवार	parivaar			
Father		पिता	pita			
Mother		माँ	maa			
Younger or small		छोटा	chhota			
Elder or older or big		बड़ा	bada			
Brother		भाई	bhai			
Raksha bandhan		रक्षाबंधन	raksha bandhan			
Younger sister		छोटी बहन	chhoti behen			
Elder sister or older sister		बड़ी बहन	badi behen			
Sister		बहन	behen			
Paternal grandmother		दादी	dadi			
Paternal grandfather		दादा	dada			
Maternal grandmother		नानी	nani			
Maternal grandfather		नाना	nana			
Karva chauth		करवा चौथ	karva chauth			
Wife		पत्नी	patni			
Husband		पति	pati			
Daughter		बेटी	beti			
Son		बेटा	beta			
Cat		बिल्ली	billi			
Dog		कुत्ता	kutta			
Three		तीन	teen			
Two		दो	do			
Roadside eatery		ढाबा	dhaba			
Restaurant		रेस्टोरेंट	restorent			
Food or meal		खाना	khaana			
Lentils		दाल	dal			
Indian flatbread		रोटी	roti			
Rice		चावल	chaval			
Cooked vegetables or curry		सब्ज़ी	sabzi			
A rice dish		बिरयानी	biryani			
A dish made of kidney beans		राजमा	rajma			
Thin and crispy pancake		डोसा	dosa			
Menu		मेनू	menu			
Glass		गिलास	gilas			
Water		पानी	pani			
No		नहीं	nahi			
Yes		हाँ	haan			
Okay		ठीक है	theek hai			
A little		थोड़ा	thoda			
Milk		दूध	doodh			
Or		या	ya			
Hot or Warm		गर्म	Garam			
Cold		ठंडा	thanda			
