English	Foreign	Transliteration	Context
పెద్ద	big	-	
మీ; నీ; నీకు; మి	your	-	
చిన్న	small	-	
కార్‌	car	-	
ఉన్నదా; ఉన్నాడని; ఉంటారు; వాడు; ఉంటాడా; ఉంటుందా; ది; దా; అవుతోంది; ఉండే; ఉంది; ఉన్నారు; ఉందో; ఉంటుంది; ఆ; ఉందా; ఉన్నాడా; అనా; ఉన్నది; ఉంటాడు; వాడా; ఉన్నాడో; ఉన్నాడు; అయింది; ఉందని; చేస్తోందని; వారా; ఉండి; అయ్యాయి; ఉన్నాయని; గలది	is	-	
ఇల్లు	house	-	
నా; మా; నాకు	my	-	
వేడి	hot	-	
చల్ల	cold	-	
టీ	tea	-	
మరియు; మరి	and	-	
నీరు	water	-	
ఆమెని; ఆమె; ఆమెతో	her	-	
అతనివి; అతని; అతనిది	his	-	
పేరు; పేరును	name	-	
ఏమి; ఏమిటి; ఏమితో; ఏమ్మా; ఏమండి; ఏమిటో; ఏమని	what	-	
అమ్మాయి; పాపకి	girl	-	
అబ్బాయా; పిల్లవాడిని; అబ్బాయి; పిల్లవాడి	boy	-	
విద్యార్థినిగా; విద్యార్థి; విద్యార్థియా; విద్యార్థివి	student	-	
ఓక; ఒక; a	a	-	
అవుతున్నాను; ఉన్న; ని; వచ్చాను; ఉన్నాను; ఉన్నానని	am	-	
ఉన్న; ఉంటారు; ఉన్నావు; ఉన్నాం; ఉన్నామా; అయ్యారా; ఉంటుందా; ఉన్నారా; ఉన్నవి; చేస్తున్నారా; ఉంటాయని; ఉన్నారు; ఆ; ఉంటాయి; వి; ఉన్నాము; ఉన్నాయనే; వా; ఉన్నావా; ఉన్నాయి; వున్నారు; ఉన్నారని; అయ్యారు; ఉంటారా; ఉన్నావని; అయ్యాయి; ఉంటాయా; ఉంటావు; ఉన్నాయని; ఉన్నారో	are	-	
మీరూ; మిమ్మల్ని; మీరందరిని; నీకు; నువ్వు; మీరిని; మీళ్ళు; మీరు; మీకోసం	you	-	
లోంచి; నుండి; అడవిలోంచి	from	-	
సంతపషంగా; సంతోషంగా; సంతోషకరమైన; సంతోషం	happy	-	
పురుషుడు; మాన్	man	-	
అతను	he	-	
ఆమె	she	-	
మహిళ; మహిళను	woman	-	
వెళ్ళొస్తాను	bye	-	
హలో	hello	-	
శుభరాత్రి	good night	-	
శుభోదయం	good morning	-	
బాగుంటే; బాగున్నాము; బాగా; బాగున్నాయి; బాగానే; బాగుందని	fine	-	
ఎలా	how	-	
అవును; అవునా	yes	-	
ధన్యవాదాలు	thank you	-	
ఏదీ; కాదు; వద్దు; లేదు; ఎవరూ	no	-	
కాడు; లేదని; కాదు; లేని; లేను; లేదు; లేడు; లేవు; లేడని	not	-	
క్షమించండి	sorry	-	
బాధకరమైన; విచారమైనవి; విచారంగా; బాధగా	sad	-	
అన్నయ్య; తమ్ముడు; అన్నకి; అన్నయ్యకి; అన్నయ్యకు	brother	-	
అమ్మ; తల్లికి; అమ్మగారు; అమ్మకు; అమ్మను	mother	-	
చెల్లి; అక్కకు; పిన్నికి; చెల్లితో; చెల్లెలు; అక్కకి; అక్క; చెల్లికి; చెల్లిని; అక్కను	sister	-	
