English	Foreign	Transliteration	Context
Anton and Maria	Антон и Мария	-	Make introductions
He is a teacher.	Он учитель.	-	Make introductions
Hi, I am here.	Привет, я здесь.	-	Make introductions
Hi, I am Nina.	Привет, я Нина.	-	Make introductions
Hi, I am Victor.	Привет, я Виктор.	-	Make introductions
Maria, she is here.	Мария, она здесь.	-	Make introductions
Hi, Dima.	Привет, Дима.	-	Make introductions
Hi, Katya!	Привет, Катя!	-	Make introductions
Thank you, Mark.	Спасибо, Марк.	-	Make introductions
Mom, this is Dima.	Мама, это Дима.	-	Make introductions
Hi, I am a teacher.	Привет, я учитель.	-	Make introductions
Victor is here.	Виктор здесь.	-	Make introductions
Is she here?	Она здесь?	-	Talk about your job
Is this Dima?	Это Дима?	-	Talk about your job
Are you a psychologist?	Ты психолог?	-	Talk about your job
You are not my dad.	Ты не мой папа.	-	Talk about your job
Yes, my friend is a coach.	Да, мой друг — тренер.	-	Talk about your job
This is Anton. He is a cook.	Это Антон. Он повар.	-	Talk about your job
Are you here?	Ты здесь?	-	Talk about your job
I am not you.	Я не ты.	-	Talk about your job
Is this Anton?	Это Антон?	-	Talk about your job
He is not a captain. He is a doctor.	Он не капитан. Он доктор.	-	Talk about your job
He is not a pilot. He is an engineer.	Он не пилот. Он инженер.	-	Talk about your job
Mom and Dad	мама и папа	-	Talk about your job
This is my friend, Mark.	Это мой друг, Марк.	-	Talk about your job
Hi. Are you a pilot?	Привет. Ты пилот?	-	Talk about your job
I am not a psychologist.	Я не психолог.	-	Talk about your job
Who is he?	Кто он?	-	Talk about your job
I am a pilot.	Я пилот.	-	Talk about your job
Is Yulia here?	Юлия здесь?	-	Talk about your job
Yes, I am Mark.	Да, я Марк.	-	Talk about your job
This is meat.	Это мясо.	-	Discuss food and drink
bread and milk	хлеб и молоко	-	Discuss food and drink
I eat soup.	Я ем суп.	-	Discuss food and drink
I do not want juice.	Я не хочу сок.	-	Discuss food and drink
He does not drink milk.	Он не пьёт молоко.	-	Discuss food and drink
She does not drink juice.	Она не пьёт сок.	-	Discuss food and drink
the menu	меню	-	Discuss food and drink
I drink milk.	Я пью молоко.	-	Discuss food and drink
soup	суп	-	Discuss food and drink
Yes, I eat cheese.	Да, я ем сыр.	-	Discuss food and drink
I do not eat cheese.	Я не ем сыр.	-	Discuss food and drink
Nina does not eat cheese.	Нина не ест сыр.	-	Discuss food and drink
I eat bread.	Я ем хлеб.	-	Discuss food and drink
The cook eats the cheese.	Повар ест сыр.	-	Discuss food and drink
I do not eat soup.	Я не ем суп.	-	Discuss food and drink
I do not eat meat.	Я не ем мясо.	-	Discuss food and drink
the doctor and the teacher	доктор и учитель	-	Discuss food and drink
soup and milk	суп и молоко	-	Discuss food and drink
coffee	кофе	-	Discuss food and drink
The teacher is here.	Учитель здесь.	-	Discuss food and drink
Does Nina eat meat?	Нина ест мясо?	-	Discuss food and drink
Is the cook here?	Повар здесь?	-	Discuss food and drink
She drinks wine.	Она пьёт вино.	-	Discuss food and drink
the cheese and the meat	сыр и мясо	-	Discuss food and drink
Yes, this is cheese.	Да, это сыр.	-	Discuss food and drink
I eat the meat and the bread.	Я ем мясо и хлеб.	-	Discuss food and drink
Do I drink wine?	Я пью вино?	-	Discuss food and drink
a man and a cat	мужчина и кошка	-	Form basic sentences
Ukraine or Brazil?	Украина или Бразилия?	-	Form basic sentences
a boy	мальчик	-	Form basic sentences
America	Америка	-	Form basic sentences
women	женщины	-	Form basic sentences
No, they are not here.	Нет, они не здесь.	-	Form basic sentences
No, this is not America.	Нет, это не Америка.	-	Form basic sentences
Is this America or Canada?	Это Америка или Канада?	-	Form basic sentences
This is Brazil.	Это Бразилия.	-	Form basic sentences
Yes, the cat is here.	Да, кошка здесь.	-	Form basic sentences
house	дом	-	Form basic sentences
Yes, this is my house.	Да, это мой дом.	-	Form basic sentences
No, Yulia does not eat meat.	Нет, Юлия не ест мясо.	-	Form basic sentences
The dog does not eat cheese.	Собака не ест сыр.	-	Form basic sentences
Russia	Россия	-	Form basic sentences
Is this Canada or Russia?	Это Канада или Россия?	-	Form basic sentences
Canada	Канада	-	Form basic sentences
Canada and Russia	Канада и Россия	-	Form basic sentences
This is a dog.	Это собака.	-	Form basic sentences
She is eating meat.	Она ест мясо.	-	Form basic sentences
No, thank you.	Нет, спасибо.	-	Form basic sentences
This is an apple.	Это яблоко.	-	Form basic sentences
Is this a dog or a cat?	Это собака или кошка?	-	Form basic sentences
Italy and Mongolia	Италия и Монголия	-	Form basic sentences
a woman and a girl	женщина и девочка	-	Form basic sentences
Bread, please.	Хлеб, пожалуйста.	-	Greet people
How are you doing?	Как дела?	-	Greet people
Excuse me, where is the park?	Извините, где парк?	-	Greet people
day	день	-	Greet people
Good morning.	Доброе утро.	-	Greet people
Well, bye!	Ну, пока!	-	Greet people
The park is here.	Парк здесь.	-	Greet people
Everything is fine.	Всё хорошо.	-	Greet people
