English	Context	Foreign	Transliteration	Tip	Sources	Debug
How are you?		你好吗	nǐ-hǎo-ma			
Hello		你好	nǐ-hăo			
Good morning		早上好	zǎo-shang-hǎo			
Good evening		晚上好	wǎn-shàng-hǎo			
Good afternoon		下午好	xià-wǔ-hǎo			
Goodbye		再见	zài-jiàn			
Friend		朋友	péng-you			
Ms.		女士	nǚ-shì			
Mr.		先生	xiān-sheng			
Student		学生	xué-sheng			
Teacher		老师	lǎo-shī			
Doctor		医生	yī-shēng			
Chinese medicine practitioners		中医	zhōn-gyī			
American		美国人	měi-guó-rén			
Canadian		加拿大人	jiānádà-rén			
America		美国	měi-guó			
Person		人	rén			
Canada		加拿大	jiānádà			
France		法国	fǎguó			
French person		法国人	Fǎ-guó rén			
Chinese		中国人	zhōng-guó-rén			
German person		德国人	dé-guó rén			
Germany		德国	déguó			
Britain		英国	yīng-guó			
Chinese language		汉语	hàn-yǔ			
Family		家	jiā			
Father		爸爸	bà-ba			
Mother		妈妈	mā-ma			
Younger brother		弟弟	dì-di			
Elder brother		哥哥	gē-ge			
Younger sister		妹妹	mèi-mei			
Elder sister		姐姐	jiě-jie			
Father’s father		爷爷	yé-ye			
Father’s mother		奶奶	nǎi-nai			
Mother’s mother		外婆	wài-pó			
Wife		老婆	lǎo-pó			
Husband		老公	lǎo-gōng			
Son		儿子	ér-zi			
Paternal aunt		姑姑	gū-gu			
Paternal uncle		叔叔	shū-shu			
Maternal aunt		姨妈	yí-mā			
Maternal uncle		舅舅	jiù-jiu			
Chinese fried rice		炒饭	chǎo fàn			
Cooked rice		米饭	mǐ fàn			
Hot pot		火锅	huǒ-guō			
Noodles		面条	miàn-tiáo			
Water		水	shuǐ			
To drink		喝	hē			
Tea		茶	chá			
Juice		果汁	guǒzhī			
Restaurant		餐厅	cān-tīng			
Dumplings		饺子	jiǎ-ozi			
Menu		菜单	cài-dān			
Kung pao chicken		宫保鸡丁	gōngbǎo jīdīng			
Soup		汤	tāng			
Table		桌子	zhuō-zi			
Reservation		预订	yù-dìng			
Peking duck		北京烤鸭	běij-īng kǎo-yā			
Salty		咸	xián			
Steamed buns		包子	bāo-zi			
Day		天	tiān			
One		一	yī			
Three		三	sān			
Two		二	èr			
Chopsticks		筷子	kuài-zi			
I am hungry		我饿了	wǒ è le			
Shall we eat?		我们吃饭吧？	wǒmen chīfàn ba			
Spoon		勺子	sháozi			
Bowl		碗	wǎn			
Knife		刀	dāo			
Chair		椅子	yǐ-zi			
Credit card		信用卡	xìn-yòng-kǎ			
Cash		现金	xiàn-jīn			
Bill please		请结账	qǐng jiézhàng			
Month		月	yuè			
Chinese currency		元	yuán			
Rice		米	mǐ			
Bitter		苦	kǔ			
Train station		火车站	huǒ-chē-zhàn			
High-speed train		高铁	gāo-tiě			
Train		火车	huǒ-chē			
Where		哪里	nǎ-lǐ			
Taxi		出租车	chū-zū-chē			
Car		汽车	qì-chē			
Near		近	jìn			
Airport		机场	jī-chǎng			
Airplane		飞机	fēi-jī			
Metro station		地铁站	dì-tiě-zhàn			
Metro		地铁	dì-tiě			
Go straight		一直走	yī-zhí-zǒu			
Turn right		往右拐	wǎng-yòu-guǎi			
Right		右	yòu			
Arrived		到了	dào-le			
Turn left		往左拐	wǎng-zuǒ-guǎi			
Left		左	zuǒ			
Park		公园	gōng-yuán			
Forest		森林	sēn-lín			
There		那里	nà-lǐ			
Here		这里	Zhè-lǐ			
Yesterday		昨天	zuó-tiān			
Today		今天	jīn-tiān			
To travel		旅行	lǚ-xíng			
Everyday		每天	měi-tiān			
Tomorrow		明天	míng-tiān			
Weekends		周末	zhōu-mò			
When		什么时候	shén-me-shí-hòu			
School		学校	xué-xiào			
Office		办公室	bàn-gōng-shì			
Supermarket		超市	chāo-shì			
Market		市场	shì-chǎng			
Shopping		购物	gòu-wù			
Expensive		贵	guì			
Cheap		便宜	pián-yi			
Price		价格	jià-gé			
Cheaper		便宜一点!	pián-yi-yī-diǎn			
Discount		折扣	zhé-kòu			
Too expensive		太贵了	tài-guì-le			
I want this		我要这个	wǒ-yào-zhè-ge			
To rent		租	zū			
Apartment		公寓	gōng-yù			
House		房屋	fáng-wū			
Staircase		楼梯	lóu-tī			
Entrance		入口	rù-kǒu			
Narrow		狭窄	xiá-zhǎi			
Spacious		宽敞	kuān-chǎng			
To live		住	zhù			
How far		多远	duō-yuǎn			
Kitchen		厨房	chú-fáng			
Bathroom		浴室	yù-shì			
Room		房间	fáng-jiān			
Air conditioner		空调	kōng-tiáo			
Refrigerator		冰箱	bīng-xiāng			
New		新	xīn			
Bed		床	chuáng			
Television		电视	diàn-shì			
Old		老	lǎo			
Old		旧	jiù			
Mansion		豪宅	háo-zhái			
Villa		别墅	bié-shù			
