ID	Context	Foreign	English	Transliteration	Sources	Tip	Debug
TODO	lexeme	please	pakiusap	-	Duo	-	-
TODO	lexeme	coffee	kape	-	Duo	-	-
TODO	lexeme	welcome	maligayang pagdating	-	Duo	-	-
TODO	lexeme	tea	tsaa	-	Duo	-	-
TODO	lexeme	or	o	-	Duo	-	-
TODO	lexeme	with	may kasama; na may; kasama; kasama ang; na kasama; ng; gamit ng; sa; kasamang	-	Duo	-	-
TODO	lexeme	milk	gatas	-	Duo	-	-
TODO	lexeme	sugar	asukal	-	Duo	-	-
TODO	lexeme	hello	kumusta	-	Duo	-	-
TODO	lexeme	water	tubig	-	Duo	-	-
TODO	lexeme	and	at ng; y; at; sina; na't; na’t	-	Duo	-	-
TODO	lexeme	thank you	salamat	-	Duo	-	-
TODO	lexeme	goodbye	paalam	-	Duo	-	-
TODO	lexeme	i am from	Ako ay mula sa	-	Duo	-	-
TODO	lexeme	and you	at ikaw ay; at ikaw	-	Duo	-	-
TODO	lexeme	too	masyadong; masyado; pati; rin; din	-	Duo	-	-
TODO	lexeme	hi	hi	-	Duo	-	-
TODO	lexeme	my name is	ang aking pangalan ay	-	Duo	-	-
TODO	lexeme	dad	tatay	-	Duo	-	-
TODO	lexeme	mom	nanay	-	Duo	-	-
TODO	lexeme	my	aking; akin; kong; ko; ng aking; sakin; sa akin; ang aking	-	Duo	-	-
TODO	lexeme	this is	Ito ang; Ito ay	-	Duo	-	-
TODO	lexeme	sister	babaeng kapatid	-	Duo	-	-
TODO	lexeme	brother	lalaking kapatid	-	Duo	-	-
TODO	lexeme	is from	ay mula sa	-	Duo	-	-
TODO	lexeme	passport	pasaporte	-	Duo	-	-
TODO	lexeme	ticket	tiket	-	Duo	-	-
TODO	lexeme	your	kita; mo; niyo; iyong; iyo; ninyong; sa iyong; ng iyong; inyong; n'yo; ninyo; ang iyong; mong; niyong	-	Duo	-	-
TODO	lexeme	gate	gate	-	Duo	-	-
TODO	lexeme	bag	bagahe	-	Duo	-	-
TODO	lexeme	phone	cellphone	-	Duo	-	-
TODO	lexeme	is this	ito ba ay; ito ba ang; itong	-	Duo	-	-
TODO	lexeme	jacket	jacket	-	Duo	-	-
TODO	lexeme	welcome to	Maligayang pagdating sa	-	Duo	-	-
TODO	lexeme	customs	adwana; customs	-	Duo	-	-
TODO	lexeme	yes	oo	-	Duo	-	-
TODO	lexeme	city	lungsod	-	Duo	-	-
TODO	lexeme	big	malaki	-	Duo	-	-
TODO	lexeme	nice	maganda	-	Duo	-	-
TODO	lexeme	is	ang; ba ay; ay; ba ang; bang; ng; si; '; e	-	Duo	-	-
TODO	lexeme	busy	matao	-	Duo	-	-
TODO	lexeme	museum	museo	-	Duo	-	-
TODO	lexeme	street	kalye	-	Duo	-	-
TODO	lexeme	this	itong; ito; nito; na ito; nitong	-	Duo	-	-
TODO	lexeme	famous	sikat	-	Duo	-	-
TODO	lexeme	house	bahay	-	Duo	-	-
TODO	lexeme	quiet	tahimik	-	Duo	-	-
TODO	lexeme	university	unibersidad	-	Duo	-	-
TODO	lexeme	right	kanang; tamang; kanan; pakanan; tama; karapatan	-	Duo	-	-
TODO	lexeme	where is	Nasaan	-	Duo	-	-
TODO	lexeme	old	luma	-	Duo	-	-
TODO	lexeme	library	library	-	Duo	-	-
TODO	lexeme	restaurant	restawran	-	Duo	-	-
TODO	lexeme	park	parke	-	Duo	-	-
TODO	lexeme	very	napaka-	-	Duo	-	-
TODO	lexeme	menu	menu	-	Duo	-	-
TODO	lexeme	sandwich	sandwich	-	Duo	-	-
TODO	lexeme	expensive	mahal	-	Duo	-	-
TODO	lexeme	i'd like a	Gusto ko ng isang	-	Duo	-	-
TODO	lexeme	small	maliit	-	Duo	-	-
TODO	lexeme	pizza	pizza	-	Duo	-	-
TODO	lexeme	glass of water	baso ng tubig	-	Duo	-	-
TODO	lexeme	a	ng; isang; ng isang; a	-	Duo	-	-
TODO	lexeme	large	malaki	-	Duo	-	-
TODO	lexeme	burger	burger	-	Duo	-	-
TODO	lexeme	salad	salad	-	Duo	-	-
TODO	lexeme	bowl of soup	mangkok ng sopas	-	Duo	-	-
TODO	lexeme	excuse me	pasuyo	-	Duo	-	-
TODO	lexeme	dessert	dessert	-	Duo	-	-
TODO	lexeme	check	bill	-	Duo	-	-
TODO	lexeme	here is your	Narito ang iyong	-	Duo	-	-
TODO	lexeme	delicious	masarap	-	Duo	-	-
TODO	lexeme	doctor	doktor	-	Duo	-	-
TODO	lexeme	student	estudyante	-	Duo	-	-
TODO	lexeme	i'm	ako; kong; ako ay; ko	-	Duo	-	-
TODO	lexeme	chef	chef	-	Duo	-	-
TODO	lexeme	wife	asawang babae	-	Duo	-	-
TODO	lexeme	teacher	titser	-	Duo	-	-
TODO	lexeme	husband	asawang lalaki	-	Duo	-	-
TODO	lexeme	nurse	nars	-	Duo	-	-
TODO	lexeme	lawyer	abogado	-	Duo	-	-
TODO	lexeme	friend	kaibigan	-	Duo	-	-
TODO	lexeme	great	magaling	-	Duo	-	-
TODO	lexeme	speak	nagsasalita	-	Duo	-	-
TODO	lexeme	English	Ingles	-	Duo	-	-
TODO	lexeme	Spanish	Spanish	-	Duo	-	-
TODO	lexeme	I	Ako	-	Duo	-	-
TODO	lexeme	you	ikaw	-	Duo	-	-
TODO	lexeme	understand	nakakaintindi	-	Duo	-	-
TODO	lexeme	oh	uy; oh	-	Duo	-	-
TODO	lexeme	Chinese	Chinese	-	Duo	-	-
TODO	lexeme	study	nag-aaral	-	Duo	-	-
TODO	lexeme	at school	sa paaralan	-	Duo	-	-
TODO	lexeme	French	French	-	Duo	-	-
TODO	lexeme	a little	konti	-	Duo	-	-
TODO	lexeme	Hindi	Hindi	-	Duo	-	-
TODO	lexeme	well	mahusay	-	Duo	-	-
TODO	lexeme	at home	sa bahay	-	Duo	-	-
TODO	lexeme	today	ngayong araw	-	Duo	-	-
TODO	lexeme	it's rainy	Maulan	-	Duo	-	-
TODO	lexeme	here	dito; nandito; narito; rito	-	Duo	-	-
TODO	lexeme	it's cold	Malamig	-	Duo	-	-
TODO	lexeme	it's sunny	maaraw	-	Duo	-	-
TODO	lexeme	it's hot	mainit	-	Duo	-	-
TODO	lexeme	in	tuwing; i; sa loob ng; sa; in	-	Duo	-	-
TODO	lexeme	cloudy	maulap	-	Duo	-	-
TODO	lexeme	need	kailangan	-	Duo	-	-
TODO	lexeme	hat	sombrero	-	Duo	-	-
TODO	lexeme	is it	ba; bang	-	Duo	-	-
TODO	lexeme	it's	ito'y; itong; ito ay; ito	-	Duo	-	-
TODO	lexeme	windy	mahangin	-	Duo	-	-
TODO	lexeme	scarf	balabal	-	Duo	-	-
TODO	lexeme	sweater	sweater	-	Duo	-	-
TODO	lexeme	dog	aso	-	Duo	-	-
TODO	lexeme	pet	alagang hayop	-	Duo	-	-
TODO	lexeme	cat	pusa	-	Duo	-	-
TODO	lexeme	do you have	Mayroon ka bang	-	Duo	-	-
TODO	lexeme	i have	Mayroon akong; Mayroon ba akong	-	Duo	-	-
TODO	lexeme	rabbit	kuneho	-	Duo	-	-
TODO	lexeme	cute	kyut	-	Duo	-	-
TODO	lexeme	are	ay	-	Duo	-	-
TODO	lexeme	two	dalawa	-	Duo	-	-
TODO	lexeme	smart	matalino	-	Duo	-	-
TODO	lexeme	three	tatlo	-	Duo	-	-
TODO	lexeme	snake	ahas	-	Duo	-	-
TODO	lexeme	don't worry	huwag kang mag-alala	-	Duo	-	-
TODO	lexeme	store	tindahan	-	Duo	-	-
TODO	lexeme	new	bago	-	Duo	-	-
TODO	lexeme	open	bukas	-	Duo	-	-
TODO	lexeme	shirt	polo shirt	-	Duo	-	-
TODO	lexeme	red	pula	-	Duo	-	-
