ID	Context	Foreign	English	Transliteration	Sources	Tip	Debug
TODO	lexeme	это	is; this; those are; it's; does this; that; these; those; it is; that's; these are; is it; he's; is that; it; is this; this is; that is; is she; are; are these; was	-	Duo	-	-
TODO	lexeme	добро пожаловать	welcome	-	Duo	-	-
TODO	lexeme	я	have I; I'm; did I; I was; I will; I am; I; me; I've; I'll	-	Duo	-	-
TODO	lexeme	жаль	sorry; what a pity; it is a pity; a pity; shame	-	Duo	-	-
TODO	lexeme	привет	hi; hello	-	Duo	-	-
TODO	lexeme	мама	mom; a mom; the mom; a mother; mother; the mother; my mother	-	Duo	-	-
TODO	lexeme	мал	small; too small	-	Duo	-	-
TODO	lexeme	она	she; it's; she is; her; will she; she's; she'll; it; is she; does she; did she	-	Duo	-	-
TODO	lexeme	здесь	is there; here; is here; there is...here; is over here; there are; in here; are here; over here; there are...here; am here; it's ... here; it's; there is	-	Duo	-	-
TODO	lexeme	спасибо	thank you; thank; thanks	-	Duo	-	-
TODO	lexeme	он	he; is he; he is; does he; will he; it is; is it; does it; it's; he's; him; it; he'll; he was	-	Duo	-	-
TODO	lexeme	учитель	teacher; a teacher; instructor	-	Duo	-	-
TODO	lexeme	доктор	doctor	-	Duo	-	-
TODO	lexeme	актёр	actor; an actor; the actor	-	Duo	-	-
TODO	lexeme	инженер	engineer	-	Duo	-	-
TODO	lexeme	и	and	-	Duo	-	-
TODO	lexeme	не	not	-	Duo	-	-
TODO	lexeme	психолог	psychologist	-	Duo	-	-
TODO	lexeme	музыкант	musician	-	Duo	-	-
TODO	lexeme	да	yes	-	Duo	-	-
TODO	lexeme	пилот	pilot	-	Duo	-	-
TODO	lexeme	капитан	captain	-	Duo	-	-
TODO	lexeme	светлана	Svetlana	-	Duo	-	-
TODO	lexeme	тренер	coach	-	Duo	-	-
TODO	lexeme	политик	politician	-	Duo	-	-
TODO	lexeme	повар	cook	-	Duo	-	-
TODO	lexeme	ты	had you; you; did you; are you; you're; you've; you are; do you; have you; will you; you'll; were you	-	Duo	-	-
TODO	lexeme	марк	Mark	-	Duo	-	-
TODO	lexeme	юлия	Yulia; julie	-	Duo	-	-
TODO	lexeme	где	where; where are; where is; where's; whereabouts; anywhere; where did	-	Duo	-	-
TODO	lexeme	папа	dad; a dad; father; a father	-	Duo	-	-
TODO	lexeme	друг	friend	-	Duo	-	-
TODO	lexeme	той	that; by that; to that	-	Duo	-	-
TODO	lexeme	мой	my; is mine	-	Duo	-	-
TODO	lexeme	кто	who; Who am; Who are; Who is	-	Duo	-	-
TODO	lexeme	хлеб	bread; the bread	-	Duo	-	-
TODO	lexeme	сыр	cheese	-	Duo	-	-
TODO	lexeme	молоко	milk	-	Duo	-	-
TODO	lexeme	ем	eating; eat; have	-	Duo	-	-
TODO	lexeme	ест	eats; eat; is eating; eating; has	-	Duo	-	-
TODO	lexeme	суп	soup; the soup; a soup	-	Duo	-	-
TODO	lexeme	мясо	meat	-	Duo	-	-
TODO	lexeme	пью	drink; drinking	-	Duo	-	-
TODO	lexeme	пьёт	is drinking; drinking; drinks; drink	-	Duo	-	-
TODO	lexeme	вино	wine	-	Duo	-	-
TODO	lexeme	кофе	coffee; the coffee	-	Duo	-	-
TODO	lexeme	сон	sleeping; dream	-	Duo	-	-
TODO	lexeme	меню	menu	-	Duo	-	-
TODO	lexeme	сок	juice	-	Duo	-	-
TODO	lexeme	хочу	I want; want to go; want; would like	-	Duo	-	-
TODO	lexeme	мужчина	man; a man; the man	-	Duo	-	-
TODO	lexeme	женщина	woman; the woman; a woman	-	Duo	-	-
TODO	lexeme	девочка	girl; a girl; little girl; a little girl; the girl; the little girl	-	Duo	-	-
TODO	lexeme	яблоко	apple; an apple; the apple	-	Duo	-	-
TODO	lexeme	кошка	cat; a cat; the cat; kitty; kitty cat	-	Duo	-	-
TODO	lexeme	нет	no; absent; do not; do not have; not; don't; does not have; there are no; they don't have them; there is no; is not	-	Duo	-	-
TODO	lexeme	рюкзак	backpack; knapsack; rucksack ; bookbag ; pack; bag; back pack; packsack ; packback 	-	Duo	-	-
TODO	lexeme	мальчик	boy; the boy; a boy; little boy	-	Duo	-	-
TODO	lexeme	шкала	scale	-	Duo	-	-
TODO	lexeme	дом	house; a house; home	-	Duo	-	-
TODO	lexeme	россия	Russia; Russia is	-	Duo	-	-
TODO	lexeme	америка	America; USA; America is	-	Duo	-	-
TODO	lexeme	канада	Canada	-	Duo	-	-
TODO	lexeme	или	or	-	Duo	-	-
TODO	lexeme	собака	dog; the dog; a dog; There is a dog	-	Duo	-	-
TODO	lexeme	свитер	sweater; a sweater; pullover; jumper; sweatshirt	-	Duo	-	-
TODO	lexeme	бразилия	Brazil	-	Duo	-	-
TODO	lexeme	город	city is; city; the city; a city; town; town is	-	Duo	-	-
TODO	lexeme	женщины	women; the women; woman; woman's	-	Duo	-	-
TODO	lexeme	пицца	pizza	-	Duo	-	-
TODO	lexeme	они	they are; they; did they; do they; they're; they've; they'll; it's; it; them; are they	-	Duo	-	-
TODO	lexeme	у меня	I have	-	Duo	-	-
TODO	lexeme	есть	has; is; there are; is to have; is there; eating; wield; are there; does have; had; have; are; to eat; eat; there is; there's; has got	-	Duo	-	-
TODO	lexeme	вечер	evening; afternoon	-	Duo	-	-
TODO	lexeme	день	day; a day; day is; afternoon; the day	-	Duo	-	-
TODO	lexeme	дело	matter; business; case; affair; cause; a matter	-	Duo	-	-
TODO	lexeme	пока	yet; while; so far; is still; as; before; until; bye; see you; still	-	Duo	-	-
TODO	lexeme	добрый	kind; nice; good; a kind	-	Duo	-	-
TODO	lexeme	парк	park; the park; a park	-	Duo	-	-
TODO	lexeme	чай	tea	-	Duo	-	-
TODO	lexeme	извините	sorry; excuse me; apologies	-	Duo	-	-
TODO	lexeme	пожалуйста	please; you're welcome	-	Duo	-	-
TODO	lexeme	метро	subway; the subway; the metro; a subway; metro	-	Duo	-	-
TODO	lexeme	утро	morning	-	Duo	-	-
TODO	lexeme	конечно	of course	-	Duo	-	-
TODO	lexeme	уже	already; It is already; yet; anymore	-	Duo	-	-
TODO	lexeme	доброе	kind; nice; good	-	Duo	-	-
TODO	lexeme	там	there	-	Duo	-	-
TODO	lexeme	спокойной ночи	good night	-	Duo	-	-
TODO	lexeme	хорошо	well; fine; ok; it is nice to; is fine; it is good; nice; is good; good; okay	-	Duo	-	-
TODO	lexeme	до свидания	goodbye	-	Duo	-	-
TODO	lexeme	как дела	how's it going; how are you; how are you doing	-	Duo	-	-
TODO	lexeme	всё	everything; all; anything	-	Duo	-	-
TODO	lexeme	до завтра	by tomorrow; until tomorrow; see you tomorrow; before tomorrow	-	Duo	-	-
TODO	lexeme	ну	well	-	Duo	-	-
TODO	lexeme	брат	brother; a brother; the brother	-	Duo	-	-
TODO	lexeme	мы	are we; we; we'll; we've; we are; we're; us; and I	-	Duo	-	-
TODO	lexeme	велосипед	bicycle; bike; a bike; a bicycle	-	Duo	-	-
TODO	lexeme	у тебя	you have; you; do you have; are you; at your place; your; do; did you	-	Duo	-	-
TODO	lexeme	ребёнок	child; baby; the child; kid; a child	-	Duo	-	-
TODO	lexeme	этот	this; the; that	-	Duo	-	-
TODO	lexeme	нас	us; than us	-	Duo	-	-
TODO	lexeme	у	with; near; at; have; has; from; by; of	-	Duo	-	-
TODO	lexeme	дети	children; kids; babies; there are children	-	Duo	-	-
TODO	lexeme	наше	our; ours	-	Duo	-	-
TODO	lexeme	банан	banana	-	Duo	-	-
TODO	lexeme	сестра	sister; a sister	-	Duo	-	-
TODO	lexeme	вода	water	-	Duo	-	-
TODO	lexeme	в	on; are there in; are in; there is; there are...in; on it; are at; there is...in; is; to; in; is in; is wearing; inside; for; into; at; does; about; and; of; from; by; there are...on	-	Duo	-	-
TODO	lexeme	кафе	cafe; café; a cafe; the cafe	-	Duo	-	-
TODO	lexeme	моё	my; mine; is mine	-	Duo	-	-
TODO	lexeme	яблоки	apples; the apples	-	Duo	-	-
TODO	lexeme	пьёшь	drinking; drink	-	Duo	-	-
TODO	lexeme	мои	mine; my	-	Duo	-	-
TODO	lexeme	яйцо	an egg; egg	-	Duo	-	-
TODO	lexeme	офис	the office; office; an office	-	Duo	-	-
TODO	lexeme	телефон	telephone; a phone; phone; the phone; phone number; a telephone	-	Duo	-	-
TODO	lexeme	тарелка	a plate; the plate; plate; bowl	-	Duo	-	-
TODO	lexeme	что	what; what do; what is; what does; that; as; which; what's; what are	-	Duo	-	-
TODO	lexeme	наш	does our; is our; our; ours; we	-	Duo	-	-
TODO	lexeme	стол	table; there is a table; desk	-	Duo	-	-
TODO	lexeme	лошадь	a horse; the horse; horse	-	Duo	-	-
TODO	lexeme	план	plan; a plan; the plan	-	Duo	-	-
TODO	lexeme	них	them; their	-	Duo	-	-
TODO	lexeme	неё	her; it	-	Duo	-	-
TODO	lexeme	такси	taxi; cab; taxicab ; taxi cab	-	Duo	-	-
