ID	Context	Foreign	English	Transliteration	Sources	Tip	Debug
TODO	lexeme	おちゃ	green teas; green tea; tea; teas	-	Duo	-	-
TODO	lexeme	ください	please	-	Duo	-	-
TODO	lexeme	すし	sushi	-	Duo	-	-
TODO	lexeme	ごはん	rice; meal; meals	-	Duo	-	-
TODO	lexeme	みず	water	-	Duo	-	-
TODO	lexeme	と	and; that; door; with; for; or; as; when; if; nor; to; doors; whenever; from; city	-	Duo	-	-
TODO	lexeme	です	there is; it's; I'm; she's; he's; we're; is	-	Duo	-	-
TODO	lexeme	いしゃ	doctor; doctors	-	Duo	-	-
TODO	lexeme	せんせい	teacher; Professor; teachers; Doctor	-	Duo	-	-
TODO	lexeme	やさしい	kind; easy; nice	-	Duo	-	-
TODO	lexeme	べんごし	lawyer; lawyers	-	Duo	-	-
TODO	lexeme	かっこいい	cool; good-looking; stylish; handsome; attractive	-	Duo	-	-
TODO	lexeme	ひと	person; people	-	Duo	-	-
TODO	lexeme	がくせい	student; students	-	Duo	-	-
TODO	lexeme	けん	Ken; ticket	-	Duo	-	-
TODO	lexeme	こんにちは	hello; hi	-	Duo	-	-
TODO	lexeme	どうぞよろしく	nice to meet you	-	Duo	-	-
TODO	lexeme	はな	flowers; flower; Hana; nose	-	Duo	-	-
TODO	lexeme	なおみ	Naomi	-	Duo	-	-
TODO	lexeme	こんばんは	tonight; good evening; this evening	-	Duo	-	-
TODO	lexeme	さん	Mr.; Miss; Mrs.; 3; three; Ms.; Mt.	-	Duo	-	-
TODO	lexeme	じゃあね	bye	-	Duo	-	-
TODO	lexeme	またあした	see you tomorrow	-	Duo	-	-
TODO	lexeme	カレー	curry	-	Duo	-	-
TODO	lexeme	は	is; with; regarding; for; tooth; at; when; on; about; as for; of; during; in; by; teeth; was; are	-	Duo	-	-
TODO	lexeme	おいしい	good; delicious; tasty	-	Duo	-	-
TODO	lexeme	ラーメン	ramen	-	Duo	-	-
TODO	lexeme	これ	this (one); these; this	-	Duo	-	-
TODO	lexeme	それ	that (one); it; that	-	Duo	-	-
TODO	lexeme	ピザ	pizza	-	Duo	-	-
TODO	lexeme	ケーキ	cake	-	Duo	-	-
TODO	lexeme	はい	yes	-	Duo	-	-
TODO	lexeme	いいえ	no	-	Duo	-	-
TODO	lexeme	か	or; is it?; that; if; what; whether	-	Duo	-	-
TODO	lexeme	おおきい	big; large	-	Duo	-	-
TODO	lexeme	にほん	Japan	-	Duo	-	-
TODO	lexeme	ちいさい	small; little	-	Duo	-	-
TODO	lexeme	アメリカ	America; the USA; the US; American; the United States	-	Duo	-	-
TODO	lexeme	カナダじん	Canadian	-	Duo	-	-
TODO	lexeme	アメリカじん	American	-	Duo	-	-
TODO	lexeme	カナダ	Canada	-	Duo	-	-
TODO	lexeme	にほんじん	Japanese	-	Duo	-	-
TODO	lexeme	イギリス	Britain; the United Kingdom; British; the UK	-	Duo	-	-
TODO	lexeme	ブラジル	Brazil	-	Duo	-	-
TODO	lexeme	イギリスじん	British	-	Duo	-	-
TODO	lexeme	ブラジルじん	Brazilian	-	Duo	-	-
TODO	lexeme	どこ	where	-	Duo	-	-
TODO	lexeme	コンビニ	convenience store	-	Duo	-	-
TODO	lexeme	ホテル	hotel	-	Duo	-	-
TODO	lexeme	バスてい	bus stop	-	Duo	-	-
TODO	lexeme	ここ	here	-	Duo	-	-
TODO	lexeme	デパート	department store	-	Duo	-	-
TODO	lexeme	えき	station; train station; stations; train stations	-	Duo	-	-
TODO	lexeme	だいがく	university; college	-	Duo	-	-
TODO	lexeme	そこ	there	-	Duo	-	-
TODO	lexeme	ぼうし	hat; hats	-	Duo	-	-
TODO	lexeme	かさ	umbrella; umbrellas	-	Duo	-	-
TODO	lexeme	わたしの	my; mine	-	Duo	-	-
TODO	lexeme	あかい	red	-	Duo	-	-
TODO	lexeme	コート	coat	-	Duo	-	-
TODO	lexeme	しろい	white	-	Duo	-	-
TODO	lexeme	くつ	shoes; shoe	-	Duo	-	-
TODO	lexeme	これら	these	-	Duo	-	-
TODO	lexeme	それら	they; them; those	-	Duo	-	-
TODO	lexeme	なかやま	Nakayama	-	Duo	-	-
TODO	lexeme	この	this; these	-	Duo	-	-
TODO	lexeme	たなか	Tanaka	-	Duo	-	-
TODO	lexeme	あかるい	bright; cheerful; well-lit	-	Duo	-	-
TODO	lexeme	かわいい	cuter; cute; pretty; sweet	-	Duo	-	-
TODO	lexeme	その	the; that; its; those	-	Duo	-	-
TODO	lexeme	おもしろい	interesting; fun; funny	-	Duo	-	-
TODO	lexeme	やまぐち	Yamaguchi	-	Duo	-	-
TODO	lexeme	いち	one; an	-	Duo	-	-
TODO	lexeme	に	to; in; as (a); through; made; with; inside; atop; onto; make; for; upon; let; within; (out) of; two; among; as; per; into; as (an); at; on; over; about; of; against; during; from; by	-	Duo	-	-
TODO	lexeme	じ	o'clock	-	Duo	-	-
TODO	lexeme	三	3; three; third	-	Duo	-	-
TODO	lexeme	なんじ	what time	-	Duo	-	-
TODO	lexeme	二	two; 2	-	Duo	-	-
TODO	lexeme	一	one; an; a; first; 1	-	Duo	-	-
TODO	lexeme	いま	now; current	-	Duo	-	-
TODO	lexeme	ごろ	around; about	-	Duo	-	-
TODO	lexeme	すみません	excuse me	-	Duo	-	-
TODO	lexeme	はん	thirty	-	Duo	-	-
TODO	lexeme	くうこう	airport	-	Duo	-	-
TODO	lexeme	ちかてつ	subway	-	Duo	-	-
TODO	lexeme	じゃないです	is not; we're not; aren't; he's not; she's not; I'm not; it's not; I am not; isn't; won't	-	Duo	-	-
TODO	lexeme	きっぷ	ticket	-	Duo	-	-
TODO	lexeme	ちず	map	-	Duo	-	-
TODO	lexeme	スマホ	smartphone	-	Duo	-	-
TODO	lexeme	の	for; 's; one; of; s'; ’s	-	Duo	-	-
TODO	lexeme	パスポート	passport	-	Duo	-	-
TODO	lexeme	山口	Yamaguchi	-	Duo	-	-
TODO	lexeme	田中	Tanaka	-	Duo	-	-
TODO	lexeme	中山	Nakayama	-	Duo	-	-
TODO	lexeme	かばん	bag	-	Duo	-	-
TODO	lexeme	おなまえは	what's your name	-	Duo	-	-
TODO	lexeme	はじめまして	nice to meet you; how do you do	-	Duo	-	-
TODO	lexeme	おはようございます	good morning	-	Duo	-	-
TODO	lexeme	ようこそ	welcome	-	Duo	-	-
TODO	lexeme	私	I	-	Duo	-	-
TODO	lexeme	東京	Tokyo	-	Duo	-	-
TODO	lexeme	しゅっしん	from; origin; hometown; home country	-	Duo	-	-
TODO	lexeme	も	even; any; also; as well; some; as many as; neither ... nor; both ... and; again; too; or; still; and; whole; either	-	Duo	-	-
TODO	lexeme	ニューヨーク	New York	-	Duo	-	-
TODO	lexeme	にすんでいます	is living	-	Duo	-	-
TODO	lexeme	京都	Kyoto	-	Duo	-	-
TODO	lexeme	おおさか	Osaka	-	Duo	-	-
TODO	lexeme	日本	Japan; Japanese	-	Duo	-	-
TODO	lexeme	どう	how (about); what; how	-	Duo	-	-
TODO	lexeme	とし	years; cities; city; year	-	Duo	-	-
TODO	lexeme	にぎやか	lively	-	Duo	-	-
