English	Foreign	Transliteration	Context
One	एक	ek	Pair letters and sounds
Raj is a man.	राज एक आदमी है।	raaj ek aadamii hai.	Form basic sentences
an apple	एक सेब	ek seb	Form basic sentences
That girl and this girl	वह लड़की और यह लड़की	vah laṛkii aur yah laṛkii	Form basic sentences
Book	किताब	kitaab	Form basic sentences
Apple	सेब	seb	Form basic sentences
Woman	औरत	aurat	Form basic sentences
I am Julia.	मैं जूलिया हूँ।	main juuliyaa huun.	Form basic sentences
This man	यह आदमी	yah aadamii	Form basic sentences
Neha is a woman.	नेहा एक औरत है।	nehaa ek aurat hai.	Form basic sentences
A book and an apple	एक किताब और एक सेब	ek kitaab aur ek seb	Form basic sentences
This woman is fine.	यह औरत ठीक है।	yah aurat ṭhiik hai.	Form basic sentences
That book	वह किताब	vah kitaab	Form basic sentences
Peter reads and eats.	पीटर पढ़ता है और खाता है।	piiṭar paṛtaa hai aur khaataa hai.	Talk about food
I eat.	मैं खाती हूँ।	main khaatii huun.	Talk about food
I read.	मैं पढ़ती हूँ।	main paṛtii huun.	Talk about food
Water	पानी	paanii	Talk about food
Banana	केला	kelaa	Talk about food
Neha does not drink tea.	नेहा चाय नहीं पीती है।	nehaa chaaya nahiin piitii hai.	Talk about food
This boy reads.	यह लड़का पढ़ता है।	yah laṛkaa paṛtaa hai.	Talk about food
You eat.	तू खाता है।	tuu khaataa hai.	Talk about food
Tea	चाय	chaaya	Talk about food
This is a banana.	यह एक केला है।	yah ek kelaa hai.	Talk about food
Hello, I am fine.	नमस्ते, मैं ठीक हूँ।	namaste, main ṭhiik huun.	Talk about food
I read.	मैं पढ़ता हूँ।	main paṛtaa huun.	Talk about food
You drink water.	तू पानी पीती है।	tuu paanii piitii hai.	Talk about food
Peter eats an apple.	पीटर सेब खाता है।	piiṭar seb khaataa hai.	Talk about food
Thank you	धन्यवाद	dhanyavaad	Talk about food
Neha reads and Julia eats.	नेहा पढ़ती है और जूलिया खाती है।	nehaa paṛtii hai aur juuliyaa khaatii hai.	Talk about food
What does Julia eat?	जूलिया क्या खाती है?	juuliyaa kyaa khaatii hai?	Talk about food
I drink water.	मैं पानी पीती हूँ।	main paanii piitii huun.	Talk about food
Hi, I am Neha.	नमस्ते, मैं नेहा हूँ।	namaste, main nehaa huun.	Talk about food
You are a girl.	तू एक लड़की है।	tuu ek laṛkii hai.	Talk about food
No, not tea. Water is fine.	नहीं, चाय नहीं। पानी ठीक है।	nahiin, chaaya nahiin. paanii ṭhiik hai.	Talk about food
We eat bananas and apples.	हम केले और सेब खाते हैं।	ham kele aur seb khaate hain.	Form the plural
You eat.	तुम खाते हो।	tum khaate ho.	Form the plural
Books	किताबें	kitaaben	Form the plural
One woman and two women	एक औरत और दो औरतें	ek aurat aur do auraten	Form the plural
Girls	लड़कियाँ	laṛkiyaan	Form the plural
Boys	लड़के	laṛke	Form the plural
Are these three apples?	क्या ये तीन सेब हैं?	kyaa ye tiin seb hain?	Form the plural
Who are those women?	वे महिलाएँ कौन हैं?	ve mahilaaen kaun hain?	Form the plural
What do the girls and boys read?	लड़कियाँ और लड़के क्या पढ़ते हैं?	laṛkiyaan aur laṛke kyaa paṛte hain?	Form the plural
Two men and three women	दो आदमी और तीन औरतें	do aadamii aur tiin auraten	Form the plural
Two men eat bananas.	दो आदमी केले खाते हैं।	do aadamii kele khaate hain.	Form the plural
We drink tea and eat apples.	हम चाय पीते हैं और सेब खाते हैं।	ham chaaya piite hain aur seb khaate hain.	Form the plural
You drink tea.	तुम चाय पीते हो।	tum chaaya piite ho.	Form the plural
They read that book.	वे वह किताब पढ़ते हैं।	ve vah kitaab paṛte hain.	Form the plural
Women read books.	औरतें किताबें पढ़ती हैं।	auraten kitaaben paṛtii hain.	Form the plural
Women eat apples.	औरतें सेब खाती हैं।	auraten seb khaatii hain.	Form the plural
We drink water.	हम पानी पीते हैं।	ham paanii piite hain.	Form the plural
The girls eat apples.	लड़कियाँ सेब खाती हैं।	laṛkiyaan seb khaatii hain.	Form the plural
We are not fine.	हम ठीक नहीं हैं।	ham ṭhiik nahiin hain.	Form the plural
They are three men.	वे तीन आदमी हैं।	ve tiin aadamii hain.	Form the plural
Who reads the books?	किताबें कौन पढ़ता है?	kitaaben kaun paṛtaa hai?	Form the plural
Home	घर	ghar	Introduce people
Peter's daughter lives in India.	पीटर की बेटी भारत में रहती है।	piiṭar kii beṭii bhaarat men rahatii hai.	Introduce people
School	स्कूल	skuul	Introduce people
He lives in India.	वह भारत में रहता है।	vah bhaarat men rahataa hai.	Introduce people
This is Neha's son.	यह नेहा का बेटा है।	yah nehaa kaa beṭaa hai.	Introduce people
Raj is Julia's sister's son.	राज जूलिया की बहन का बेटा है।	raaj juuliyaa kii bahan kaa beṭaa hai.	Introduce people
Your name is Neha and his name is Aamir.	तेरा नाम नेहा है और उसका नाम आमिर है।	teraa naam nehaa hai aur usakaa naam aamir hai.	Introduce people
Aamir goes to India every day.	आमिर हर दिन भारत जाता है।	aamir har din bhaarat jaataa hai.	Introduce people
This is my daughter.	यह मेरी बेटी है।	yah merii beṭii hai.	Introduce people
No, I don't live in America.	नहीं, मैं अमेरिका में नहीं रहता हूँ।	nahiin, main amerikaa men nahiin rahataa huun.	Introduce people
That is Julia's apple.	वह जूलिया का सेब है।	vah juuliyaa kaa seb hai.	Introduce people
That girl goes to home from school.	वह लड़की स्कूल से घर जाती है।	vah laṛkii skuul se ghar jaatii hai.	Introduce people
Yes, I live in India.	हाँ, मैं भारत में रहता हूँ।	haan, main bhaarat men rahataa huun.	Introduce people
That is his book.	वह उसकी किताब है।	vah usakii kitaab hai.	Introduce people
India is my home.	भारत मेरा घर है।	bhaarat meraa ghar hai.	Introduce people
That boy does not live in India.	वह लड़का भारत में नहीं रहता है।	vah laṛkaa bhaarat men nahiin rahataa hai.	Introduce people
His sister lives in America.	उसकी बहन अमेरिका में रहती है।	usakii bahan amerikaa men rahatii hai.	Introduce people
His brother is Aamir.	उसका भाई आमिर है।	usakaa bhaaii aamir hai.	Introduce people
He is my son.	वह मेरा बेटा है।	vah meraa beṭaa hai.	Introduce people
His house and your house	उसका घर और तेरा घर	usakaa ghar aur teraa ghar	Introduce people
She is our sister.	वह हमारी बहन है।	vah hamaarii bahan hai.	Describe your family
Julia and Neha are sisters.	जूलिया और नेहा बहनें हैं।	juuliyaa aur nehaa bahanen hain.	Describe your family
Your father and your mother	आपके पिता और आपकी माँ	aapake pitaa aur aapakii maan	Describe your family
I am with my mother.	मैं अपनी माँ के साथ हूँ।	main apanii maan ke saath huun.	Describe your family
His sons are in your home.	उसके बेटे तेरे घर में हैं।	usake beṭe tere ghar men hain.	Describe your family
His mother has three daughters.	उसकी माँ की तीन बेटियाँ हैं।	usakii maan kii tiin beṭiyaan hain.	Describe your family
The father and the children go home.	पिता और बच्चे घर जाते हैं।	pitaa aur bachche ghar jaate hain.	Describe your family
Your sons eat apples.	तेरे बेटे सेब खाते हैं।	tere beṭe seb khaate hain.	Describe your family
Their father is in America.	उनके पिता अमेरिका में हैं।	unake pitaa amerikaa men hain.	Describe your family
They live with their grandfather.	वे अपने नाना के साथ रहते हैं।	ve apane naanaa ke saath rahate hain.	Describe your family
That is your book.	वह तुम्हारी किताब है।	vah tumhaarii kitaab hai.	Describe your family
They have two sons.	उनके दो बेटे हैं।	unake do beṭe hain.	Describe your family
Mother lives at home.	माँ घर में रहती हैं।	maan ghar men rahatii hain.	Describe your family
Neha has two sons.	नेहा के दो बेटे हैं।	nehaa ke do beṭe hain.	Describe your family
You have two brothers.	तेरे दो भाई हैं।	tere do bhaaii hain.	Describe your family
Your child, your children	तुम्हारा बच्चा, तुम्हारे बच्चे	tumhaaraa bachchaa, tumhaare bachche	Describe your family
Raj goes to his home.	राज उसके घर जाता है।	raaj usake ghar jaataa hai.	Describe your family
That child does not go home.	वह बच्चा घर नहीं जाता है।	vah bachchaa ghar nahiin jaataa hai.	Describe your family
Our son studies.	हमारा बेटा पढ़ता है।	hamaaraa beṭaa paṛtaa hai.	Describe your family
Your school is in India.	तुम्हारा स्कूल भारत में है।	tumhaaraa skuul bhaarat men hai.	Describe your family
Their apples	उनके सेब	unake seb	Describe your family
Raj and Neha don't live in America.	राज और नेहा अमेरिका में नहीं रहते हैं।	raaj aur nehaa amerikaa men nahiin rahate hain.	Describe your family
Your sister is my friend.	आपकी बहन मेरी दोस्त है।	aapakii bahan merii dost hai.	Describe your family
Big animals do not eat grass.	बड़े जानवर घास नहीं खाते हैं।	baṛe jaanavar ghaas nahiin khaate hain.	Talk about animals
Elephants eat big bananas.	हाथी बड़े केले खाते हैं।	haathii baṛe kele khaate hain.	Talk about animals
Milk	दूध	duudh	Talk about animals
Small mouse, small cow. Small dogs, small cats.	छोटा चूहा, छोटी गाय। छोटे कुत्ते, छोटी बिल्लियाँ।	chhoṭaa chuuhaa, chhoṭii gaaya. chhoṭe kutte, chhoṭii billiyaan.	Talk about animals
Bird	पक्षी	pakshii	Talk about animals
Dog	कुत्ता	kuttaa	Talk about animals
Elephant	हाथी	haathii	Talk about animals
The rats and dogs are fine.	चूहे और कुत्ते ठीक हैं।	chuuhe aur kutte ṭhiik hain.	Talk about animals
Big dog, big cat. Big mice, big cows.	बड़ा कुत्ता, बड़ी बिल्ली। बड़े चूहे, बड़ी गायें।	baṛaa kuttaa, baṛii billii. baṛe chuuhe, baṛii gaayen.	Talk about animals
This is my cat's tea, not yours.	यह मेरी बिल्ली की चाय है, तेरी नहीं।	yah merii billii kii chaaya hai, terii nahiin.	Talk about animals
The rats are in the book.	चूहे किताब में हैं ।	chuuhe kitaab men hain .	Talk about animals
Neha's cow is bigger than my cow.	नेहा की गाय मेरी गाय से बड़ी है।	nehaa kii gaaya merii gaaya se baṛii hai.	Talk about animals
A rat is black.	चूहा काला होता है।	chuuhaa kaalaa hotaa hai.	Talk about animals
The dog drinks milk.	कुत्ता दूध पीता है।	kuttaa duudh piitaa hai.	Talk about animals
Cows are not cats.	गायें बिल्लियाँ नहीं होती हैं।	gaayen billiyaan nahiin hotii hain.	Talk about animals
Dogs	कुत्ते	kutte	Talk about animals
This is my cow's apple, not Julia's.	यह मेरी गाय का सेब है, जूलिया का नहीं।	yah merii gaaya kaa seb hai, juuliyaa kaa nahiin.	Talk about animals
The name of Neha's cat is Raj.	नेहा की बिल्ली का नाम राज है।	nehaa kii billii kaa naam raaj hai.	Talk about animals
The cat is black.	बिल्ली काली है।	billii kaalii hai.	Talk about animals
That rat is black.	वह चूहा काला है ।	vah chuuhaa kaalaa hai .	Talk about animals
That cow is black.	वह गाय काली है ।	vah gaaya kaalii hai .	Talk about animals
The rats are black.	चूहे काले हैं ।	chuuhe kaale hain .	Talk about animals
This peacock drinks tea.	यह मोर चाय पीता है।	yah mor chaaya piitaa hai.	Talk about animals
That apple is big.	वह सेब बड़ा है।	vah seb baṛaa hai.	Talk about animals
Chair	कुर्सी	kursii	Use the present tense
I have two cats.	मेरे पास दो बिल्लियाँ हैं।	mere paas do billiyaan hain.	Use the present tense
Table	मेज़	mej	Use the present tense
He is not swimming.	वह नहीं तैर रहा है ।	vah nahiin tair rahaa hai .	Use the present tense
Two girls are standing.	दो लड़कियाँ खड़ी हैं।	do laṛkiyaan khaṛii hain.	Use the present tense
You are standing.	तू खड़ा है।	tuu khaṛaa hai.	Use the present tense
My father and grandfather are swimming today.	मेरे पिता और दादा आज तैर रहे हैं ।	mere pitaa aur daadaa aaj tair rahe hain .	Use the present tense
My father is coming home.	मेरे पिता घर आ रहे हैं ।	mere pitaa ghar aa rahe hain .	Use the present tense
That girl is coming.	वह लड़की आ रही है।	vah laṛkii aa rahii hai.	Use the present tense
She is not standing.	वह खड़ी नहीं है।	vah khaṛii nahiin hai.	Use the present tense
The dog is sitting on the table.	कुत्ता मेज़ पर बैठा है।	kuttaa mej par baiṭhaa hai.	Use the present tense
My grandfather is standing in the river.	मेरे दादा नदी में खड़े हैं ।	mere daadaa nadii men khaṛe hain .	Use the present tense
The children are playing.	बच्चे खेल रहे हैं।	bachche khel rahe hain.	Use the present tense
