English	Foreign	Transliteration	Context
sushi	すし		order food
water	みず		order food
Sushi, please.	すし、ください。		order food
rice	ごはん		order food
sushi and rice	すしとごはん		order food
green tea	おちゃ		order food
Green tea and water, please.	おちゃとみず、ください。		order food
Rice and water, please!	ごはんとみず、ください！		order food
Water and sushi, please.	みずとすし、ください。		order food
Sushi, please!	すし、ください！		order food
It's sushi.	すしです。		order food
It's water and rice.	みずとごはんです。		order food
Green tea and sushi, please.	おちゃとすし、ください。		order food
sushi and water	すしとみず		order food
green tea and water	おちゃとみず		order food
It's green tea.	おちゃです。		order food
It's rice.	ごはんです。		order food
Sushi and water, please.	すしとみず、ください。		order food
It's green tea and rice.	おちゃとごはんです。		order food
teacher	せんせい		describe people
lawyer	べんごし		describe people
student	がくせい		describe people
cool	かっこいい		describe people
He's a cool person!	かっこいいひとです！		describe people
She's a student.	がくせいです。		describe people
person	ひと		describe people
He's cool.	かっこいいです。		describe people
Hello!	こんにちは！		introduce yourself
I'm Naomi.	なおみです。		introduce yourself
See you tomorrow.	またあした。		introduce yourself
Good evening, Hana.	はなさん、こんばんは。		introduce yourself
See you tomorrow, Ken.	けんさん、またあした。		introduce yourself
Hello, I'm Hana!	こんにちは、はなです！		introduce yourself
Bye!	じゃあね！		introduce yourself
Hello, Ken!	けんさん、こんにちは！		introduce yourself
Hello, Naomi.	なおみさん、こんにちは。		introduce yourself
Hello, Hana!	はなさん、こんにちは！		introduce yourself
Nice to meet you, Naomi!	なおみさん、どうぞよろしく！		introduce yourself
I'm Ken, nice to meet you!	けんです、どうぞよろしく！		introduce yourself
Nice to meet you.	どうぞよろしく。		introduce yourself
cake	ケーキ		order food and drink
pizza	ピザ		order food and drink
ramen	ラーメン		order food and drink
Pizza is tasty.	ピザはおいしいです。		order food and drink
This is tasty ramen.	これはおいしいラーメンです。		order food and drink
Is it tasty?	おいしいですか。		order food and drink
That's tasty!	それはおいしいです！		order food and drink
Is this sushi?	これはすしですか。		order food and drink
That's tasty.	それはおいしいです。		order food and drink
Pizza, please.	ピザ、ください。		order food and drink
This is tasty green tea.	これはおいしいおちゃです。		order food and drink
No, it's water.	いいえ、みずです。		order food and drink
This is green tea.	これはおちゃです。		order food and drink
Yes, it's tasty.	はい、おいしいです。		order food and drink
No, it's cake.	いいえ、ケーキです。		order food and drink
curry and ramen	カレーとラーメン		order food and drink
Canada	カナダ		talk about countries
Japan	にほん		talk about countries
the United States	アメリカ		talk about countries
Brazil	ブラジル		talk about countries
America is big.	アメリカはおおきいです。		talk about countries
Japan is small.	にほんはちいさいです。		talk about countries
