ID	Context	English	Foreign	Transliteration	Sources	Tip	Debug
TODO	Name food and drinks	rice	米饭	mǐ fàn 	Duo	-	type=select:name_example
TODO	Name food and drinks	tofu	豆腐	dòu fu 	Duo	-	type=select:name_example
TODO	Name food and drinks	soup	汤	tāng 	Duo	-	type=select:name_example
TODO	Name food and drinks	Tea, water	茶、水	chá, shuǐ 	Duo	-	type=translate:tap
TODO	Name food and drinks	This is hot tea.	这是热茶。	zhè shì rè chá  	Duo	-	type=translate:tap
TODO	Name food and drinks	Hot tea and coffee.	热茶和咖啡	rè chá hé kā fēi 	Duo	-	type=translate:tap
TODO	Name food and drinks	tea and rice	茶和米饭	chá hé mǐ fàn 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	rice and soup	米饭和汤	mǐ fàn hé tāng 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	water and rice	水和米饭	shuǐ hé mǐ fàn 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	rice	米饭	mǐ fàn 	Duo	-	type=select:name_example
TODO	Name food and drinks	tofu	豆腐	dòu fu 	Duo	-	type=select:name_example
TODO	Name food and drinks	soup	汤	tāng 	Duo	-	type=select:name_example
TODO	Name food and drinks	This is coffee.	这是咖啡。	zhè shì kā fēi  	Duo	-	type=translate:tap
TODO	Name food and drinks	hot water	热水	rè shuǐ 	Duo	-	type=translate:tap
TODO	Name food and drinks	rice and soup	米饭和汤	mǐ fàn hé tāng 	Duo	-	type=translate:tap
TODO	Name food and drinks	tea and water	茶和水	chá hé shuǐ 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	Hot water and tea	热水和茶	rè shuǐ hé chá 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	tea and rice	茶和米饭	chá hé mǐ fàn 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	coffee	咖啡	kā fēi 	Duo	-	type=select:name_example
TODO	Name food and drinks	rice	米饭	mǐ fàn 	Duo	-	type=select:name_example
TODO	Name food and drinks	tofu	豆腐	dòu fu 	Duo	-	type=select:name_example
TODO	Name food and drinks	water	水	shuǐ 	Duo	-	type=translate:tap
TODO	Name food and drinks	water and soup	水和汤	shuǐ hé tāng 	Duo	-	type=translate:tap
TODO	Name food and drinks	hot tea	热茶	rè chá 	Duo	-	type=translate:tap
TODO	Name food and drinks	coffee and tea	咖啡和茶	kā fēi hé chá 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	Hot tea and coffee.	热茶和咖啡	rè chá hé kā fēi 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	Hot water and tea	热水和茶	rè shuǐ hé chá 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	rice	米饭	mǐ fàn 	Duo	-	type=select:name_example
TODO	Name food and drinks	tofu	豆腐	dòu fu 	Duo	-	type=select:name_example
TODO	Name food and drinks	soup	汤	tāng 	Duo	-	type=select:name_example
TODO	Name food and drinks	Hot water and tea	热水和茶	rè shuǐ hé chá 	Duo	-	type=translate:tap
TODO	Name food and drinks	water and coffee	水和咖啡	shuǐ hé kā fēi 	Duo	-	type=translate:tap
TODO	Name food and drinks	porridge and soup	粥和汤	zhōu hé tāng 	Duo	-	type=translate:tap
TODO	Name food and drinks	Hot tea and coffee.	热茶和咖啡	rè chá hé kā fēi 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	Hot water and tea	热水和茶	rè shuǐ hé chá 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	tea and rice	茶和米饭	chá hé mǐ fàn 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	tofu and rice	豆腐和米饭	dòu fu hé mǐ fàn 	Duo	-	type=translate:tap
TODO	Name food and drinks	tea and water	茶和水	chá hé shuǐ 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	Soup, porridge	汤、粥	tāng, zhōu 	Duo	-	type=translate:tap
TODO	Name food and drinks	hot tea	热茶	rè chá 	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	This is rice.	这是米饭。	zhè shì mǐ fàn  	Duo	-	type=translate:tap
TODO	Name food and drinks	This is tofu.	这是豆腐。	zhè shì dòu fu  	Duo	-	type=translate:reverse_tap
TODO	Name food and drinks	rice and soup	米饭和汤	mǐ fàn hé tāng 	Duo	-	type=translate:tap
